spec_id,stratum,attack_tpr_k,attack_tpr_n,attack_tpr,attack_tpr_status,clean_alarm_rate_k,clean_alarm_rate_n,clean_alarm_rate,clean_alarm_rate_status,pre_alarm_rate_k,pre_alarm_rate_n,pre_alarm_rate,pre_alarm_rate_status,post_alarm_rate_k,post_alarm_rate_n,post_alarm_rate,post_alarm_rate_status,decided_clean_alarm_rate_k,decided_clean_alarm_rate_n,decided_clean_alarm_rate,decided_clean_alarm_rate_status,decision_coverage_k,decision_coverage_n,decision_coverage,decision_coverage_status,abstention_rate_k,abstention_rate_n,abstention_rate,abstention_rate_status,failure_rate_k,failure_rate_n,failure_rate,failure_rate_status,atom_coverage_k,atom_coverage_n,atom_coverage,atom_coverage_status,clause_coverage_k,clause_coverage_n,clause_coverage,clause_coverage_status,MacroTPR_config_environment_k,MacroTPR_config_environment_n,MacroTPR_config_environment,MacroTPR_config_environment_status,exact_FTF_k,exact_FTF_n,exact_FTF,exact_FTF_status,conditional_recovery_k,conditional_recovery_n,conditional_recovery,conditional_recovery_status
C0,w9-stealth-boundary-webgl-pair-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
W0,w10-cdp-emulation-screen-metrics-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
W0,w10-cdp-emulation-timezone-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
W0,w6-tool-054-legacy-default-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
W0,w6-tool-055-legacy-default-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
W0,w6-tool-056-legacy-default-v1,9,9,1.0,OK,0,18,0.0,OK,0,9,0.0,OK,0,9,0.0,OK,0,18,0.0,OK,27,27,1.0,OK,0,27,0.0,OK,0,27,0.0,OK,117,117,1.0,OK,117,117,1.0,OK,1.0,1,1.0,OK,9,9,1.0,OK,9,9,1.0,OK
W0,w6-tool-058-legacy-default-v1,9,9,1.0,OK,0,18,0.0,OK,0,9,0.0,OK,0,9,0.0,OK,0,18,0.0,OK,27,27,1.0,OK,0,27,0.0,OK,0,27,0.0,OK,117,117,1.0,OK,117,117,1.0,OK,1.0,1,1.0,OK,9,9,1.0,OK,9,9,1.0,OK
W0,w9-rule-boundary-cdp-platform-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
W0,w9-rule-boundary-cdp-resource-pair-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
W0,w9-rule-boundary-cdp-ua-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
W0,w9-rule-boundary-cdp-ua-platform-desktop-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
W0,w9-rule-boundary-cdp-webdriver-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
W0,w9-stealth-boundary-languages-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
W0,w9-stealth-boundary-plugins-mime-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
W0,w9-stealth-boundary-webgl-pair-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
S_FLAT,w10-cdp-emulation-screen-metrics-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
S_FLAT,w10-cdp-emulation-timezone-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
S_FLAT,w6-tool-054-legacy-default-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
S_FLAT,w6-tool-055-legacy-default-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
S_FLAT,w6-tool-056-legacy-default-v1,9,9,1.0,OK,0,18,0.0,OK,0,9,0.0,OK,0,9,0.0,OK,0,18,0.0,OK,27,27,1.0,OK,0,27,0.0,OK,0,27,0.0,OK,117,117,1.0,OK,117,117,1.0,OK,1.0,1,1.0,OK,9,9,1.0,OK,9,9,1.0,OK
S_FLAT,w6-tool-058-legacy-default-v1,9,9,1.0,OK,0,18,0.0,OK,0,9,0.0,OK,0,9,0.0,OK,0,18,0.0,OK,27,27,1.0,OK,0,27,0.0,OK,0,27,0.0,OK,117,117,1.0,OK,117,117,1.0,OK,1.0,1,1.0,OK,9,9,1.0,OK,9,9,1.0,OK
S_FLAT,w9-rule-boundary-cdp-platform-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
S_FLAT,w9-rule-boundary-cdp-resource-pair-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
S_FLAT,w9-rule-boundary-cdp-ua-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
S_FLAT,w9-rule-boundary-cdp-ua-platform-desktop-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
S_FLAT,w9-rule-boundary-cdp-webdriver-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
S_FLAT,w9-stealth-boundary-languages-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
S_FLAT,w9-stealth-boundary-plugins-mime-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
S_FLAT,w9-stealth-boundary-webgl-pair-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
J0,w10-cdp-emulation-screen-metrics-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
J0,w10-cdp-emulation-timezone-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
J0,w6-tool-054-legacy-default-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
J0,w6-tool-055-legacy-default-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
J0,w6-tool-056-legacy-default-v1,9,9,1.0,OK,0,18,0.0,OK,0,9,0.0,OK,0,9,0.0,OK,0,18,0.0,OK,27,27,1.0,OK,0,27,0.0,OK,0,27,0.0,OK,117,117,1.0,OK,117,117,1.0,OK,1.0,1,1.0,OK,9,9,1.0,OK,9,9,1.0,OK
J0,w6-tool-058-legacy-default-v1,9,9,1.0,OK,0,18,0.0,OK,0,9,0.0,OK,0,9,0.0,OK,0,18,0.0,OK,27,27,1.0,OK,0,27,0.0,OK,0,27,0.0,OK,117,117,1.0,OK,117,117,1.0,OK,1.0,1,1.0,OK,9,9,1.0,OK,9,9,1.0,OK
J0,w9-rule-boundary-cdp-platform-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
J0,w9-rule-boundary-cdp-resource-pair-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
J0,w9-rule-boundary-cdp-ua-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
J0,w9-rule-boundary-cdp-ua-platform-desktop-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
J0,w9-rule-boundary-cdp-webdriver-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
J0,w9-stealth-boundary-languages-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
J0,w9-stealth-boundary-plugins-mime-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
J0,w9-stealth-boundary-webgl-pair-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,9,9,1.0,OK,9,9,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
W0__R_KEEP_V1,w10-cdp-emulation-screen-metrics-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
W0__R_KEEP_V1,w10-cdp-emulation-timezone-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
W0__R_KEEP_V1,w6-tool-054-legacy-default-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
W0__R_KEEP_V1,w6-tool-055-legacy-default-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
W0__R_KEEP_V1,w6-tool-056-legacy-default-v1,9,9,1.0,OK,0,18,0.0,OK,0,9,0.0,OK,0,9,0.0,OK,0,18,0.0,OK,27,27,1.0,OK,0,27,0.0,OK,0,27,0.0,OK,162,162,1.0,OK,162,162,1.0,OK,1.0,1,1.0,OK,9,9,1.0,OK,9,9,1.0,OK
W0__R_KEEP_V1,w6-tool-058-legacy-default-v1,9,9,1.0,OK,0,18,0.0,OK,0,9,0.0,OK,0,9,0.0,OK,0,18,0.0,OK,27,27,1.0,OK,0,27,0.0,OK,0,27,0.0,OK,162,162,1.0,OK,162,162,1.0,OK,1.0,1,1.0,OK,9,9,1.0,OK,9,9,1.0,OK
W0__R_KEEP_V1,w9-rule-boundary-cdp-platform-only-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
W0__R_KEEP_V1,w9-rule-boundary-cdp-resource-pair-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
W0__R_KEEP_V1,w9-rule-boundary-cdp-ua-only-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
W0__R_KEEP_V1,w9-rule-boundary-cdp-ua-platform-desktop-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
W0__R_KEEP_V1,w9-rule-boundary-cdp-webdriver-only-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
W0__R_KEEP_V1,w9-stealth-boundary-languages-only-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
W0__R_KEEP_V1,w9-stealth-boundary-plugins-mime-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
W0__R_KEEP_V1,w9-stealth-boundary-webgl-pair-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
S_FLAT__R_KEEP_V1,w10-cdp-emulation-screen-metrics-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
S_FLAT__R_KEEP_V1,w10-cdp-emulation-timezone-only-v1,0,3,0.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,0.0,1,0.0,OK,0,3,0.0,OK,0,0,,NOT_EVALUABLE
S_FLAT__R_KEEP_V1,w6-tool-054-legacy-default-v1,3,3,1.0,OK,0,6,0.0,OK,0,3,0.0,OK,0,3,0.0,OK,0,6,0.0,OK,9,9,1.0,OK,0,9,0.0,OK,0,9,0.0,OK,54,54,1.0,OK,54,54,1.0,OK,1.0,1,1.0,OK,3,3,1.0,OK,3,3,1.0,OK
